tweet_id,tweet_date,tweet_source,tweet_text,tweet_url,tweet_picture_predicted,tweet_favorites,tweet_retweets,user_followers,dog_stage,dog_breed,confidence_level,rating_numerator,dogs_count,dog_name,dog_gender
667405339315146752,2015-11-19 18:13:27,Twitter for iPhone,This is Biden. Biden just tripped... 7/10 https://t.co/3Fm9PwLju1,https://twitter.com/dog_rates/status/667405339315146752/photo/1,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,488,232,4484774,None,Saint_Bernard,0.381377,7.0,1,Biden,
667435689202614272,2015-11-19 20:14:03,Twitter for iPhone,Ermergerd 12/10 https://t.co/PQni2sjPsm,https://twitter.com/dog_rates/status/667435689202614272/photo/1,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,324,88,4484774,None,Rottweiler,0.999091,12.0,1,,
667437278097252352,2015-11-19 20:20:22,Twitter for iPhone,Never seen this breed before. Very pointy pup. Hurts when you cuddle. Still cute tho. 10/10 https://t.co/97HuBrVuOx,https://twitter.com/dog_rates/status/667437278097252352/photo/1,https://pbs.twimg.com/media/CUM2qWaWoAUZ06L.jpg,478,255,4484774,None,,0.0,10.0,1,,
667443425659232256,2015-11-19 20:44:47,Twitter for iPhone,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,https://twitter.com/dog_rates/status/667443425659232256/photo/1,https://pbs.twimg.com/media/CUM8QZwW4AAVsBl.jpg,823,616,4484774,None,,0.0,6.0,1,,
667453023279554560,2015-11-19 21:22:56,Twitter Web Client,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,https://twitter.com/dog_rates/status/667453023279554560/photo/1,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,327,95,4484774,None,Labrador_retriever,0.8256700000000001,11.0,1,Cupcake,
667455448082227200,2015-11-19 21:32:34,Twitter Web Client,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,https://twitter.com/dog_rates/status/667455448082227200/photo/1,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,202,66,4484774,None,Tibetan_terrier,0.676376,7.0,1,Reese,
667470559035432960,2015-11-19 22:32:36,Twitter Web Client,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,https://twitter.com/dog_rates/status/667470559035432960/photo/1,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,273,101,4484774,None,toy_poodle,0.304175,11.0,1,Kohl,male
667491009379606528,2015-11-19 23:53:52,Twitter Web Client,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,https://twitter.com/dog_rates/status/667491009379606528/photo/1,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,556,237,4484774,None,borzoi,0.852088,7.5,2,,
667495797102141441,2015-11-20 00:12:54,Twitter Web Client,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,https://twitter.com/dog_rates/status/667495797102141441/photo/1,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,554,293,4484773,None,Chihuahua,0.143957,9.0,1,Philippe,
667502640335572993,2015-11-20 00:40:05,Twitter Web Client,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,https://twitter.com/dog_rates/status/667502640335572993/photo/1,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,562,230,4484773,None,Labrador_retriever,0.996709,11.0,1,Hall,
667509364010450944,2015-11-20 01:06:48,Twitter Web Client,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,https://twitter.com/dog_rates/status/667509364010450944/photo/1,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,7103,2254,4484773,None,beagle,0.636169,12.0,1,Tickles,
667517642048163840,2015-11-20 01:39:42,Twitter Web Client,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,https://twitter.com/dog_rates/status/667517642048163840/photo/1,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,388,203,4484773,None,Italian_greyhound,0.125176,8.0,1,Dook,male
667524857454854144,2015-11-20 02:08:22,Twitter Web Client,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,https://twitter.com/dog_rates/status/667524857454854144/photo/1,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1786,1188,4484773,None,Chesapeake_Bay_retriever,0.08812239999999999,12.0,1,,
667530908589760512,2015-11-20 02:32:25,Twitter Web Client,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",https://twitter.com/dog_rates/status/667530908589760512/photo/1,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,496,260,4484773,None,golden_retriever,0.633037,10.0,1,Naphaniel,male
667534815156183040,2015-11-20 02:47:56,Twitter Web Client,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",https://twitter.com/dog_rates/status/667534815156183040/photo/1,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,859,571,4484773,None,Pembroke,0.435254,8.0,1,Frank,
667538891197542400,2015-11-20 03:04:08,Twitter Web Client,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",https://twitter.com/dog_rates/status/667538891197542400/photo/1,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,216,72,4484773,None,Yorkshire_terrier,0.618957,9.0,1,Klint,
667544320556335104,2015-11-20 03:25:43,Twitter Web Client,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",https://twitter.com/dog_rates/status/667544320556335104/photo/1,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,912,560,4484773,None,Pomeranian,0.412893,7.0,2,Kial,
667546741521195010,2015-11-20 03:35:20,Twitter Web Client,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,https://twitter.com/dog_rates/status/667546741521195010/photo/1,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,350,135,4484773,None,toy_poodle,0.787424,9.0,1,,male
667549055577362432,2015-11-20 03:44:31,Twitter Web Client,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,https://twitter.com/dog_rates/status/667549055577362432/photo/1,https://pbs.twimg.com/media/CUOcVCwWsAERUKY.jpg,6079,2438,4484773,None,,0.0,1.0,1,,
667724302356258817,2015-11-20 15:20:54,Twitter Web Client,What a dog to start the day with. Very calm. Likes to chill by pond. Corkscrews sticking out of head. Obedient. 7/10 https://t.co/0nIxPTDWAZ,https://twitter.com/dog_rates/status/667724302356258817/photo/1,https://pbs.twimg.com/media/CUQ7tv3W4AA3KlI.jpg,515,340,4484773,None,,0.0,7.0,1,,
667728196545200128,2015-11-20 15:36:22,Twitter Web Client,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,https://twitter.com/dog_rates/status/667728196545200128/photo/1,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,396,160,4484773,None,kuvasz,0.360159,11.0,1,Olive,male
667766675769573376,2015-11-20 18:09:16,Twitter Web Client,This is Calvin. He is a Luxembourgian Mayo. Having issues with truck. Has it under control tho. 9/10 responsible af https://t.co/3Bbba7y8Xe,https://twitter.com/dog_rates/status/667766675769573376/photo/1,https://pbs.twimg.com/media/CURiQMnUAAAPT2M.jpg,473,237,4484773,None,,0.0,9.0,1,Calvin,male
667773195014021121,2015-11-20 18:35:10,Twitter Web Client,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,https://twitter.com/dog_rates/status/667773195014021121/photo/1,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,243,61,4484773,None,West_Highland_white_terrier,0.360465,8.0,1,Jessiga,female
667782464991965184,2015-11-20 19:12:01,Twitter for iPhone,Super rare dog. Endangered (?). Thinks it's funny. Mocks everything I say. Colorful af. Has wings (dope). 9/10 https://t.co/BY8nQAMz0x,https://twitter.com/dog_rates/status/667782464991965184/photo/1,https://pbs.twimg.com/media/CURwm3cUkAARcO6.jpg,433,257,4484773,None,,0.0,9.0,1,,
667793409583771648,2015-11-20 19:55:30,Twitter for iPhone,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,https://twitter.com/dog_rates/status/667793409583771648/photo/1,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,731,356,4484773,None,dalmatian,0.5350729999999999,8.0,1,,
667801013445750784,2015-11-20 20:25:43,Twitter for iPhone,OMIGOD 12/10 https://t.co/SVMF4Frf1w,https://twitter.com/dog_rates/status/667801013445750784/photo/1,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,346,101,4484773,None,flat-coated_retriever,0.508392,12.0,1,,
667806454573760512,2015-11-20 20:47:20,Twitter for iPhone,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,https://twitter.com/dog_rates/status/667806454573760512/photo/1,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,1102,528,4484773,None,Chihuahua,0.187155,10.0,1,Filup,male
667393430834667520,2015-11-19 17:26:08,Twitter for iPhone,This is Fwed. He is a Canadian Asian Taylormade. Was having a blast until pink spiky football attacked. 8/10 https://t.co/A37eGLz5WS,https://twitter.com/dog_rates/status/667393430834667520/photo/1,https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg,208,60,4484775,None,papillon,0.557009,8.0,1,Fwed,male
667832474953625600,2015-11-20 22:30:44,Twitter for iPhone,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",https://twitter.com/dog_rates/status/667832474953625600/photo/1,https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg,301,68,4484773,None,miniature_pinscher,0.2142,12.0,1,,
667369227918143488,2015-11-19 15:49:57,Twitter for iPhone,Here we have a neat pup. Very white. Cool shades. Upcoming cruise? Great dog 10/10 https://t.co/LEaviT37v1,https://twitter.com/dog_rates/status/667369227918143488/photo/1,https://pbs.twimg.com/media/CUL4xR9UkAEdlJ6.jpg,385,171,4484775,None,,0.0,10.0,1,,
667200525029539841,2015-11-19 04:39:35,Twitter for iPhone,This is Joshwa. He is a fuckboy supreme. He clearly relies on owner but doesn't respect them. Dreamy eyes tho 11/10 https://t.co/60xYFRATPZ,https://twitter.com/dog_rates/status/667200525029539841/photo/1,https://pbs.twimg.com/media/CUJfVMPXIAAgbue.jpg,653,279,4484775,None,Siberian_husky,0.694904,11.0,1,Joshwa,male
